#SampleID	BarcodeSequence	LinkerPrimerSequence	Gene	Fragment_length _bp	Field_ID	Type_of _Wastewater	Month_Collected	Sampling_Location	Description	singles_even_1410_alpha	singles_even_1410_normalized_alpha	singles_even_1410_alpha_label	simpson_e_even_1410_alpha	simpson_e_even_1410_normalized_alpha	simpson_e_even_1410_alpha_label	observed_species_even_1410_alpha	observed_species_even_1410_normalized_alpha	observed_species_even_1410_alpha_label	goods_coverage_even_1410_alpha	goods_coverage_even_1410_normalized_alpha	goods_coverage_even_1410_alpha_label	shannon_even_1410_alpha	shannon_even_1410_normalized_alpha	shannon_even_1410_alpha_label
SKW173			amoA	349	10/4/16 AER2_1	WWTP	October	AER	SKW173	7.45774647887	0.239113827349	bin_1_of_4	0.112287539071	0.161194368187	bin_1_of_4	16.6126760563	0.140933989416	bin_1_of_4	0.9947108181	0.760886172647	bin_4_of_4	1.38995336958	0.280931380164	bin_2_of_4
SKW174			amoA	349	10/4/16 AER2_2	WWTP	October	AER	SKW174	3.02112676056	0.0786860198625	bin_1_of_4	0.107686405934	0.151485844522	bin_1_of_4	16.3028169014	0.136848946245	bin_1_of_4	0.997857356907	0.921313980136	bin_4_of_4	1.34119212621	0.26731067174	bin_2_of_4
SKW175			amoA	349	6/24/16 AN1_1_R	WWTP	June	AN	SKW175	4.66901408451	0.138273491215	bin_1_of_4	0.168838757931	0.280519071524	bin_2_of_4	20.8732394366	0.197103333024	bin_1_of_4	0.996688642493	0.86172650878	bin_4_of_4	2.31407361245	0.539070252537	bin_3_of_4
SKW176			amoA	349	6/24/16 AER2_1_R	WWTP	June	AER	SKW176	2.50704225352	0.0600967659791	bin_1_of_4	0.147735094829	0.235989733524	bin_1_of_4	14.6197183099	0.114659734472	bin_1_of_4	0.998221955849	0.939903234023	bin_4_of_4	1.70454478393	0.368807685857	bin_2_of_4
SKW177			amoA	349	6/24/16 AN2_1_R	WWTP	June	AN	SKW177	4.30985915493	0.125286478228	bin_1_of_4	0.133792602734	0.206570672952	bin_1_of_4	19.4436619718	0.178256429301	bin_1_of_4	0.996943362301	0.874713521766	bin_4_of_4	1.83059479822	0.404017831727	bin_2_of_4
SKW178			amoA	349	6/24/16 AER2_3_R	WWTP	June	AER	SKW178	3.78873239437	0.106442577031	bin_1_of_4	0.117659175767	0.172528676591	bin_1_of_4	19.0774647887	0.173428651007	bin_1_of_4	0.997312955749	0.893557422967	bin_4_of_4	1.81041693035	0.398381452587	bin_2_of_4
SKW179			amoA	349	6/24/16 AN1_2_R	WWTP	June	AN	SKW179	5.40845070423	0.165011459129	bin_1_of_4	0.103551122945	0.142760278109	bin_1_of_4	16.9436619718	0.145297558258	bin_1_of_4	0.996164219359	0.834988540866	bin_4_of_4	1.40565576107	0.285317603347	bin_2_of_4
SKW180			amoA	349	6/24/16 AN1_3_R	WWTP	June	AN	SKW180	15.9507042254	0.546218487395	bin_3_of_4	0.0734626642681	0.0792727622282	bin_1_of_4	37.7816901408	0.42001671154	bin_2_of_4	0.988687443812	0.453781512605	bin_2_of_4	2.28859638731	0.531953578902	bin_3_of_4
SKW181			amoA	349	6/24/16 AER1_1_R	WWTP	June	AER	SKW181	9.2323943662	0.303284950344	bin_2_of_4	0.0754582580227	0.0834835226247	bin_1_of_4	25.1901408451	0.254015411754	bin_2_of_4	0.993452202577	0.696715049653	bin_3_of_4	1.6361004547	0.349688808089	bin_2_of_4
SKW182			amoA	349	6/24/16 AER1_2_R	WWTP	June	AER	SKW182	4.19718309859	0.121212121212	bin_1_of_4	0.126826979499	0.191873006964	bin_1_of_4	16.1338028169	0.134620740878	bin_1_of_4	0.997023274398	0.878787878782	bin_4_of_4	1.60416092032	0.340766987088	bin_2_of_4
SKW183			amoA	349	6/24/16 AER1_3_R	WWTP	June	AER	SKW183	3.22535211268	0.0860707919531	bin_1_of_4	0.141230406054	0.222264652544	bin_1_of_4	15.7957746479	0.130164330146	bin_1_of_4	0.997712516232	0.913929208047	bin_4_of_4	1.71653027205	0.372155648866	bin_2_of_4
SKW184			amoA	349	6/2416 AN2_2_R	WWTP	June	AN	SKW184	6.02816901408	0.187420422715	bin_1_of_4	0.155846969097	0.253106022263	bin_2_of_4	20.9295774648	0.197846068146	bin_1_of_4	0.995724702827	0.81257957728	bin_4_of_4	2.32415323513	0.54188584115	bin_3_of_4
SKW185			amoA	349	6/24/16 AN2_3_R	WWTP	June	AN	SKW185	5.78169014085	0.178507766743	bin_1_of_4	0.19206318342	0.329523279346	bin_2_of_4	20.5633802817	0.193018289852	bin_1_of_4	0.995899510538	0.82149223325	bin_4_of_4	2.45818821139	0.579326464161	bin_3_of_4
SKW186			amoA	349	6/24/16 AER2_2_R	WWTP	June	AER	SKW186	3.57746478873	0.0988031576267	bin_1_of_4	0.119455938534	0.176319897867	bin_1_of_4	15.6267605634	0.12793612478	bin_1_of_4	0.99746279093	0.901196842371	bin_4_of_4	1.49001045241	0.308880797715	bin_2_of_4
